,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2
185,62.9231204349936,66.6276043069956,70.8227819205867,70.5801213147544,66.13833264599171,82.1579545589164,62.04471759053929,69.0751667107996,70.89914620752232,67.2867432906867,68.6837009072336
186,73.5269523635357,80.48516206796509,89.11456789993228,88.78374229427811,86.16362803716518,81.1566112954428,68.1544565101139,79.56891201747261,88.63794159314828,82.9114656785936,85.1832403593029
187,62.9231204349936,87.12086166740309,95.8340106213786,95.56538611729448,85.34954011956339,,71.949456393077,82.1754948341857,91.8528711148395,91.3879494863488,92.89200745139887
188,77.93942197533009,76.4237334535712,82.90128750758998,82.55105216317371,88.4661151521457,,65.73741034445479,73.56152016399237,83.21106855434309,76.97236938435219,79.1600217391633
189,69.91710489750689,74.4717213459673,80.0050169898856,79.63888129966868,73.40956935837279,62.7462144387864,64.7775834831984,71.5265511151122,79.87895428666,74.4313792016351,76.4861373986167
190,50.498014668432205,52.4830982607621,52.2616123034177,52.196311863054596,41.632766435251696,38.9450398110122,56.7103332645339,52.8689542757459,40.683870770033394,55.7766824168316,54.942355385998106
191,37.8190589720859,37.564667257276795,31.576101427218696,31.248227906704397,28.433610842715,37.6541038003226,52.23215684545279,41.39871342102631,24.2396374994138,44.83519002202749,40.37415232673849
192,44.200433221230604,55.7740390559675,55.7428417080088,55.735031471809904,42.9397625398248,51.0414595494045,57.513247469008,55.5716853801404,43.0749508434402,57.570271589760196,57.2350274083291
193,49.0553254372081,53.1191840428137,53.955148823825205,53.962231023329494,36.4239378353412,48.5044503255943,57.105425895343295,54.19709978873551,32.98200093396589,56.6354936464309,56.055796578018
194,62.9231204349936,81.7665685397387,88.5160339335221,88.1843485860425,68.1486897124636,67.65385993494121,67.7019481248736,74.54378036560759,85.09936590274091,82.3191140020737,84.5602070868825
195,76.0278437675656,78.0981913272812,83.4927795177303,83.14169235818629,85.07393007122748,,65.90799610465632,73.09866290096701,83.5378627379067,77.51893615795171,79.7185492505017
196,46.8585854355346,52.6306805669034,53.5247827974319,53.528643404075204,36.2690421519036,45.02294807694369,57.006434150904,54.037980533902996,38.328072181255,56.42137790048861,55.7684623162646
197,27.512437631061,11.3773025932542,0.8208714340092741,0.871424558211221,23.6232114287881,24.177122196545,29.9484795024266,7.685691368904839,22.5914322254811,2.98456464283458,1.7005507058126599
